Price,Cup,Hero
351.323829,2287,35
234.215886,4500,35
146.384929,1679,23
2576.374745,39000,84
831.466395,11665,53
292.769857,2400,22
234.215886,600,21
351.323829,4000,28
593.737271,4878,28
702.647658,13960,46
2342.158859,42603,83
1171.07943,24125,64
936.863544,24320,56
29276.985743,38573,83
10305.498982,38573,83
1405.295316,24000,71
445.010183,14200,42
269.348269,16000,50
409.8778,8950,38
585.539715,4820,37
409.8778,2750,34
292.769857,5800,38
1346.741344,29200,75
292.769857,6700,40
1171.07943,22000,67
3512.06721,45000,83
1756.619145,28037,79
1990.835031,22000,65
995.417515,25,74
2647.269659,32299,81
1288.187373,26600,80
702.647658,26277,59
819.755601,12000,43
259.979633,6000,35
40.98778,723,14
76.120163,1977,36
40.98778,451,9
134.674134,2543,30
1114.996436,23597,67
310.336049,7000,42
1053.971487,25086,76
409.8778,10027,49
1463.849287,25000,71
115.936864,1223,28
819.755601,15000,66
585.539715,21900,63
526.985743,5000,38
1990.835031,26000,60
292.769857,3689,39
210.794297,5366,44
608.961303,28800,64
200.254582,6100,34
1253.05499,42000,75
2927.698574,44000,85
234.215886,1500,19
395.930244,9200,32
292.769857,17000,56
989.819756,15698,52
8197.556008,53000,85
1053.971487,24723,74
995.417515,11650,46
263.492872,5310,34
1989.663951,31500,81
2459.266802,40317,76
99.541752,1601,12
105.397149,1114,16
132.331976,728,11
105.397149,421,8
186.201629,1711,22
2927.698574,13352,60
210.794297,1312,18
878.309572,25778,56
1171.07943,17000,52
649.949084,10525,44
81.97556,527,14
1756.619145,24000,65
1756.619145,8000,35
702.647658,10000,42
819.755601,7000,42
1171.07943,26200,78
4215.885947,33800,83
571.73703,1302,29
702.647658,18300,53
7026.476578,51829,85
585.539715,19562,57
2342.158859,20000,65
936.863544,19279,57
140.529532,1,4
76.120163,2273,16
409.8778,8883,51
409.8778,2301,36
409.8778,7470,34
409.8778,16200,56
1322.148676,19000,68
409.8778,2699,28
692.869145,24291,67
2459.266802,36680,83
6618.174148,26006,77
877.138493,21472,64
661.817415,15000,49
644.093686,11450,46
117.107943,1000,12
585.539715,11416,45
409.8778,1133,28
468.431772,16833,55
2342.158859,30508,75
1053.971487,18905,52
936.863544,28000,73
409.8778,4500,44
351.323829,2900,35
593.737271,20121,63
2898.409878,32669,76
1488.441955,24730,67
1288.175662,23067,63
819.755601,20441,60
585.539715,2534,28
1053.971487,26018,66
526.985743,17697,44
1405.295316,30106,76
526.985743,13066,48
468.431772,10205,51
644.093686,12574,33
608.961303,19188,58
644.093686,15592,59
374.745418,1664,10
1639.511202,29525,61
2342.158859,28310,68
351.323829,5000,30
1288.187373,37000,62
1756.619145,41000,80
3513.238289,57869,83
146.384929,4300,42
644.093686,9098,39
6440.936864,51343,82
4098.778004,31000,74
234.215886,952,18
175.661914,724,19
5269.857434,47000,83
3513.238289,25000,70
117.107943,1488,29
1990.835031,33000,74
5269.857434,55000,84
1405.295316,45000,79
386.456212,8724,38
386.456212,10136,48
4.684318,10,1
81.97556,500,14
1171.07943,18900,70
70.264766,407,11
351.323829,14457,56
585.539715,7545,43
351.323829,4000,44
614.816701,24992,65
702.647658,21267,70
415.733198,10000,46
1662.93279,34673,83
1668.788187,36088,83
878.309572,15602,38
5855.397149,12000,53
2927.698574,38300,78
503.564155,13500,38
3513.238289,29630,75
409.8778,12169,35
500.004073,20500,54
117.107943,3500,19
1873.727088,25032,67
4098.778004,38900,83
1588.361796,27000,78
1112.525458,27000,70
93.686354,585,11
117.107943,839,20
351.323829,12502,44
4684.317719,39814,80
9368.635438,40000,80
526.985743,4000,20
585.539715,4000,20
468.431772,700,12
234.215886,8228,38
409.8778,2322,37
152.240326,508,20
199.083503,1165,22
140.529532,1027,25
398.167006,1442,27
878.309572,26500,73
1053.971487,17500,53
29276.985743,63000,84
1990.835031,17475,58
819.755601,12012,50
585.539715,8225,46
515.274949,14334,47
292.769857,3800,31
175.661914,5000,19
70.264766,600,9
3.513238,1,1
140.529532,3000,27
281.059063,6000,24
454.378819,13284,39
644.093686,7531,44
468.431772,4512,29
702.647658,19438,60
1053.971487,29605,78
58.553971,300,3
661.817415,8000,50
245.92668,2245,23
292.769857,12300,37
175.661914,6346,43
4918.533605,50200,85
2342.158859,22827,61
6440.936864,31227,83
761.201629,9000,46
5855.397149,22576,68
152.240326,1758,28
468.431772,21000,60
23421.588595,57000,84
117.107943,1245,27
2927.698574,43003,84
599.990835,17200,50
462.576375,13000,39
1698.065173,31100,73
644.093686,22035,51
3513.238289,57869,82
1756.619145,41000,80
761.201629,19151,55
292.769857,11000,40
3337.576375,43100,83
936.863544,21165,69
398.167006,15607,51
901.731161,22252,68
585.539715,10573,51
702.647658,26000,72
1141.802444,30000,76
468.431772,4409,31
2927.698574,24286,69
1346.741344,37500,69
1288.187373,16700,48
233.044807,3300,30
530.446283,10750,39
1405.295316,40000,69
175.661914,1330,15
2107.942974,35691,74
1171.07943,24300,67
1171.07943,28357,69
1463.849287,29000,78
199.083503,7600,36
1171.07943,30000,72
585.539715,10000,50
1756.619145,38700,84
3122.09776,27991,60
1249.541752,3070,36
1301.069246,32000,80
642.922607,4022,41
1990.835031,32938,84
234.215886,4076,43
468.431772,7332,33
2342.158859,31918,82
1169.90835,20406,52
7026.476578,35458,85
743.635438,18100,66
1756.619145,27500,70
19322.810591,79201,82
11125.254582,55166,85
16395.112016,79399,85
7026.476578,60240,85
4684.317719,53744,83
8021.894094,47433,84
6733.706721,52269,82
395.918534,15000,59
582.834521,15000,45
1053.971487,20382,56
3279.022403,31548,76
3499.000305,17390,51
1027.03666,26000,72
1905.7901,32900,63
23421.588595,82000,84
819.755601,7700,31
819.755601,22397,56
1334.05307,32000,74
2575.203666,36734,77
4684.317719,30000,73
2693.482688,34613,83
1346.741344,30000,72
1171.07943,8933,44
409.8778,500,13
614.816701,24278,64
234.215886,12500,45
2342.158859,28200,67
70.264766,1443,12
105.397149,1520,12
233.044807,8528,38
234.215886,4000,39
7026.476578,53500,84
256.466395,12486,47
183.85947,6999,46
1405.295316,20000,69
234.215886,11000,37
140.529532,2900,41
149.898167,1100,33
140.529532,1700,28
297.454175,4232,30
292.769857,3452,30
315.020367,3116,32
585.539715,24500,75
878.309572,33500,70
702.647658,16400,56
409.8778,11000,43
468.431772,19000,53
46.843177,205,6
3513.238289,43136,85
210.794297,7394,38
117.107943,1100,21
175.661914,1080,28
175.661914,1127,23
175.661914,1537,23
11710.794297,26170,63
748.319756,21504,67
1171.07943,18200,33
4215.885947,31500,75
1985.452244,26000,67
292.769857,3500,30
4684.317719,36600,83
2576.374745,37000,77
11710.794297,60000,81
1171.07943,26000,75
1873.727088,39080,74
1171.07943,22000,59
2342.158859,32200,81
3513.238289,44700,84
111.252546,4818,39
2602.138493,44444,83
30448.065173,71178,85
468.431772,7267,45
292.769857,10169,41
46.843177,509,12
779.9389,16000,53
779.9389,16000,53
585.539715,22800,68
1171.07943,9251,43
468.431772,16000,53
2342.158859,39200,85
1112.525458,12674,52
117.107943,5339,40
117.107943,2480,29
4335.171303,50000,84
234.215886,3475,40
234.215886,1183,23
152.240326,1401,23
1053.971487,15655,41
234.215886,3296,32
1053.971487,30384,72
234.215886,1262,20
468.431772,13639,55
175.661914,1116,25
234.215886,2941,40
5855.397149,23800,73
15224.032587,60774,83
15224.032587,60774,83
1171.07943,5000,43
421.588595,19452,66
491.85336,19500,53
819.755601,27734,68
12881.873727,62000,84
234.215886,3864,30
3513.238289,47000,85
989.562118,17333,54
18.737271,1,2
585.539715,18600,61
1756.619145,30000,76
9953.004073,31900,82
2037.678208,32446,78
292.769857,757,15
1756.619145,41400,84
526.985743,3229,40
2927.698574,33000,83
63.526337,1400,15
1463.849287,21712,54
40.98778,459,19
2927.698574,34000,84
2275.407332,43666,80
1171.07943,28656,69
796.334012,17100,51
69.093686,680,15
257.637475,3360,22
119.450102,1735,18
468.431772,13600,51
409.8778,2200,29
35132.382892,65500,75
2927.698574,30000,50
1200.000407,20123,48
526.985743,5062,29
409.8778,1700,15
1353.767821,17485,63
58.553971,500,14
1171.07943,27500,72
1639.511202,36504,77
1053.971487,35741,72
3513.238289,12800,53
1100.814664,15987,46
1053.971487,28736,68
1756.619145,37575,79
1171.07943,26000,74
1041.288697,25000,69
9368.635438,36000,80
222.505092,4610,23
69.29277,1264,13
891.191446,17200,51
2927.698574,31331,77
259.979633,3500,29
300.967413,14503,36
5.855397,1,1
44.501018,574,9
3513.238289,30064,73
14052.953157,65000,85
2342.158859,31625,84
3513.238289,31000,81
7061.608961,47000,85
1171.07943,23955,66
2342.158859,22296,55
1756.619145,19400,49
245.92668,1400,22
380.600815,5000,27
586.148676,22700,54
585.539715,9139,49
585.539715,9133,39
292.769857,4800,36
1171.07943,24900,69
1756.619145,34800,80
409.8778,8000,35
81.97556,2100,16
423.563145,18000,58
727.999156,23700,67
1405.295316,27000,71
1053.971487,17500,57
1756.619145,40000,74
1463.849287,18000,30
1229.633401,10150,37
1580.95723,9000,38
772.912424,2693,27
702.647658,14500,50
175.661914,2400,32
40.98778,1,2
4252.236253,32682,84
234.215886,1000,21
1167.566191,18000,55
2225.050916,32000,73
585.539715,17663,45
1522.403259,26000,71
901.731161,28647,69
1522.403259,24700,65
526.985743,4000,28
29276.985743,71000,85
291.598778,4738,35
818.584521,23511,65
819.755601,11040,57
702.647658,7502,40
2927.698574,33176,78
819.755601,13568,56
4148.579695,49093,83
794.180898,11000,50
1058.907864,15000,44
1171.07943,10666,41
7026.476578,47608,83
269.348269,9500,30
28105.906314,53000,78
29276.985743,47000,78
52698.574338,70000,81
468.431772,16000,59
1053.971487,31610,76
4567.209776,52000,84
1990.835031,24500,62
175.661914,5691,37
292.769857,6170,34
1873.727088,37440,72
234.215886,1443,24
995.417515,25000,53
2342.158859,38500,84
2927.698574,27915,73
3747.454175,26000,69
58.553971,517,15
58.553971,512,14
936.863544,19750,59
2927.698574,38817,83
117.107943,2800,27
93.686354,1200,22
1405.295316,35649,72
175.661914,3151,28
175.661914,3151,28
1522.403259,23598,54
6440.936864,51266,80
351.323829,16700,57
1171.07943,24500,67
503.564155,13500,45
2809.419552,21904,61
351.323829,14000,53
1756.619145,40500,82
819.755601,26500,73
1639.511202,29000,80
1288.187373,21195,68
550.407332,17596,56
772.912424,27100,70
644.093686,19568,61
995.417515,31285,76
99.541752,2435,29
351.323829,14864,46
58.553971,2201,16
2927.698574,45000,84
16395.112016,69849,83
234.215886,5500,39
936.863544,33979,62
1522.403259,20000,62
152.240326,1000,20
737.780041,5000,35
7612.016293,35669,65
936.863544,11925,66
503.564155,12560,51
585.539715,12582,59
1171.07943,11401,46
644.093686,12500,41
585.539715,4200,34
187.372709,8000,37
409.8778,11953,46
58.553971,400,9
58.553971,400,9
70.264766,400,8
70.264766,400,11
2459.266802,40000,83
2927.698574,32666,84
2576.374745,44276,82
1405.295316,18000,46
234.215886,8000,35
1171.07943,16660,52
1873.727088,29900,54
819.755601,23300,62
702.647658,9400,36
105.397149,10,2
35.132383,1,2
35.132383,1,1
585.539715,13900,56
502.393075,22786,60
819.755601,14082,53
878.309572,27000,65
8197.556008,44331,85
409.8778,9166,36
117.107943,3120,40
58.553971,350,5
1171.07943,29000,63
1171.07943,5147,35
4098.778004,40000,82
2927.698574,17000,74
7026.476578,33333,85
11710.794297,70000,82
29276.985743,60619,82
292.769857,10000,47
585.539715,4751,28
585.539715,3278,20
819.755601,10432,31
2693.482688,30777,81
13467.413442,42008,84
351.323829,7398,49
1522.403259,15500,56
1756.619145,29928,75
1171.07943,28001,65
234.215886,5000,20
4684.317719,53000,83
1206.211813,25875,78
4235.631455,45800,84
526.985743,3134,34
409.8778,12100,49
5855.397149,51600,82
491.85336,8500,47
526.985743,13250,41
526.985743,25025,65
2342.158859,37217,84
2693.482688,25527,66
9368.635438,53603,85
9368.635438,36357,82
327.90224,4500,37
468.431772,7176,39
936.863544,27850,78
761.201629,28288,79
819.755601,12020,42
5855.397149,31423,79
3396.130346,18250,58
234.215886,6011,41
1755.448065,30473,72
5593.68079,36827,84
1038.747454,23295,67
700.305499,25937,71
234.215886,1004,23
351.323829,1307,26
175.661914,1218,23
163.95112,1442,21
702.647658,17849,57
409.8778,12667,50
749.490835,26300,79
1639.511202,41470,84
3513.238289,46800,84
526.985743,20222,53
2107.942974,28100,69
1288.187373,21803,68
503.564155,9272,50
1463.849287,19500,56
3513.238289,32465,55
7612.016293,56000,84
140.763747,7800,41
796.334012,12364,61
995.417515,32000,59
819.755601,27142,72
1288.187373,20212,67
2342.158859,25050,74
526.985743,8500,35
1522.403259,33400,78
1171.07943,26005,70
7278.258656,60400,85
878.309572,30511,75
5269.857434,48000,85
585.539715,22000,65
2342.158859,15000,68
81.97556,1220,21
2342.158859,30000,74
467.260692,8368,39
111.252546,893,23
1209.771894,17240,55
1756.619145,25600,69
256.466395,3737,39
468.431772,764,20
526.985743,20809,60
175.661914,5348,38
142.87169,1436,24
2602.138493,36000,85
585.539715,10500,47
1873.727088,16000,62
175.661914,5029,36
169.806517,5029,36
351.323829,5500,32
2468.635438,34500,84
2166.496945,27200,64
117.107943,549,12
292.769857,1700,29
1405.295316,25000,63
761.201629,10801,60
2927.698574,46000,85
702.647658,15000,59
351.323829,2700,25
3513.238289,21000,78
70.264766,640,24
445.010183,9400,47
59388.95112,71000,85
234.215886,4684,39
351.323829,1419,19
58.553971,51,4
175.661914,3249,24
175.661914,5363,28
667.515275,24319,75
46.843177,1500,13
1053.971487,27844,78
585.539715,8097,38
97.726578,1500,18
4949.087067,55000,82
2342.158859,39000,76
10.656823,7,2
10.773931,2,2
2342.158859,20000,79
585.539715,4800,37
1873.727088,34424,81
1873.727088,19508,64
2927.698574,35000,83
1463.849287,29000,75
4098.778004,45000,83
234.215886,1500,16
468.431772,9200,40
351.323829,7900,36
761.201629,19000,56
234.215886,920,26
2166.496945,41000,84
2342.158859,31424,80
2459.266802,44500,79
234.215886,1000,22
152.240326,1537,24
9954.175153,23772,64
1171.07943,4003,30
1229.633401,6011,35
1053.971487,3454,35
1053.971487,3995,34
1288.187373,8423,50
1463.849287,34783,72
556.262729,19500,54
199.083503,408,12
395.824847,21823,62
187.372709,1626,17
187.372709,699,21
1487.270876,16770,55
2342.158859,14540,56
468.431772,11319,47
319.704684,6217,46
349.56721,6685,49
199.083503,13458,41
3513.238289,25000,82
409.8778,4431,32
351.323829,3180,32
3806.008147,40000,82
585.539715,16943,64
935.692464,23400,66
264.726966,9000,30
936.863544,23935,72
199.083503,1300,20
585.539715,20000,70
1299.898167,32200,83
6440.936864,25865,66
2107.942974,36000,79
585.539715,4400,26
1639.511202,25308,69
503.564155,15000,50
1053.971487,2667,34
58.553971,1718,24
11.710794,10,4
40.98778,66,10
1582.011202,20000,55
351.323829,9500,47
11710.794297,60000,85
791.842923,21200,51
79.188391,1301,16
1171.07943,30400,75
503.564155,4400,34
210.794297,7713,38
409.8778,11502,35
409.8778,11131,40
1053.971487,30000,70
585.539715,19000,68
2107.942974,28000,72
1053.971487,20446,51
285.743381,18204,44
58.553971,1205,9
1755.448065,10616,36
620.672098,26000,59
562.118126,12000,53
409.8778,17482,45
269.348269,5000,27
819.755601,28000,76
140.529532,412,19
175.661914,448,20
409.8778,3423,26
2342.158859,32000,83
292.769857,6600,43
878.309572,22699,73
1522.403259,22904,58
175.661914,4874,31
995.417515,32000,76
854.887984,25700,73
1171.07943,28000,74
5269.857434,50800,84
761.201629,9735,37
644.093686,9744,47
351.323829,10500,49
585.539715,10000,50
117.107943,6000,37
199.083503,10000,42
2342.158859,28780,69
23.421589,1,1
1522.403259,37309,81
1756.619145,17311,64
1018.839104,23527,77
269.348269,4004,29
936.863544,21330,61
14052.953157,72600,84
1053.971487,25682,66
234.215886,4252,31
468.431772,16731,58
4332.99389,40881,82
4684.317719,30910,74
1171.07943,24300,66
3981.670061,35000,81
7026.476578,23000,70
2342.158859,22000,73
4801.425662,41488,84
1288.187373,24647,71
3279.022403,45000,83
281.059063,14743,40
1756.619145,14533,46
12881.873727,73000,83
14052.953157,65000,85
1815.173116,19331,63
3513.238289,6000,35
971.995927,26544,58
351.323829,5880,36
644.093686,12911,57
292.769857,6103,31
2342.158859,28707,68
1171.07943,15075,48
1815.173116,29000,61
351.323829,3500,23
175.661914,799,13
10539.714868,73035,85
409.8778,3000,26
2342.158859,34800,84
6909.368635,42898,80
222.505092,11202,47
526.985743,18334,55
585.539715,12000,49
1171.07943,26475,74
2058.757637,36971,81
4098.778004,22267,81
351.323829,2250,25
2810.590631,42000,84
351.323829,3316,36
292.769857,3275,36
2.342159,1,1
2927.698574,19268,66
351.323829,11000,35
210.794297,13500,53
819.755601,20215,54
468.431772,12871,56
3513.238289,30544,75
248.268839,1305,22
199.083503,4262,34
9954.175153,57777,81
4098.778004,36900,82
5269.857434,34000,82
2342.158859,46350,84
726.069246,7654,41
87.830957,464,10
644.093686,18795,60
398.167006,9461,54
2870.315682,23099,74
819.755601,18300,55
5855.397149,40000,81
351.323829,6413,47
878.309572,24000,70
409.8778,17000,53
585.539715,11250,40
585.539715,13234,43
292.769857,4500,29
1756.619145,24000,75
234.215886,5017,33
2342.158859,34865,83
351.323829,18500,46
7623.160401,43000,83
8197.556008,61000,85
351.323829,2376,33
99.998473,800,19
152.240326,805,18
117.107943,406,18
99.541752,712,19
140.529532,422,20
409.8778,9648,44
1500.000509,33628,78
1756.619145,42000,79
468.431772,18000,69
58.553971,1500,12
1171.07943,22000,61
128.818737,2855,39
386.456212,13656,49
526.985743,3078,36
351.323829,7500,32
374.745418,14000,54
1474.389002,14887,54
1405.295316,21578,67
175.661914,5781,33
585.539715,17642,64
1756.619145,27546,66
4098.778004,31000,72
796.334012,16000,59
99.541752,550,15
2927.698574,28500,78
2927.698574,27000,80
351.323829,16000,37
1979.124236,38800,76
1053.971487,30937,72
1522.403259,34000,80
1756.619145,32200,76
644.093686,14411,53
936.863544,4803,37
2342.158859,13300,48
350.152749,8000,31
4332.99389,49232,85
15225.004582,72000,85
673.370672,10700,48
1288.187373,28000,80
7143.584521,49000,85
1257.453088,14190,63
2576.374745,28803,70
269.348269,8600,37
5855.397149,42591,84
2927.698574,24500,72
936.863544,13800,47
99.998473,555,10
99.998473,505,10
99.998473,505,10
99.998473,515,13
819.755601,31218,79
351.323829,20456,54
8783.095723,60005,85
4684.317719,23083,73
1112.525458,23650,69
1720.725279,25860,67
25178.207739,65600,84
87.830957,1754,25
468.431772,3000,24
374.745418,1000,19
3044.360108,40661,83
2250.17921,32060,81
1405.295316,4341,31
1979.124236,19700,62
9898.162424,30000,85
351.323829,11000,35
351.323829,8000,35
468.431772,10100,52
2342.158859,32112,76
7260.692464,40000,85
436.799494,3747,38
386.456212,7000,55
5151.578411,50000,83
2576.374745,9000,43
585.539715,20317,56
2576.374745,45000,79
989.562118,15440,63
222.505092,11546,37
1089.10387,17000,61
2488.543788,31000,78
397.090449,1488,27
661.817415,14800,69
1058.907864,28691,75
292.769857,7044,31
87.830957,400,14
92.515275,458,10
2927.698574,21500,56
5855.397149,41000,83
251.490618,2007,18
585.539715,4500,49
396.410387,3000,32
2927.698574,19000,68
5855.397149,60785,84
257.637475,10131,50
2365.580448,6000,34
18737.270876,35000,72
468.431772,14700,52
247.437373,1150,23
1990.835031,27032,67
175.661914,1513,28
1522.403259,28411,53
808.044807,23608,67
5855.397149,32000,80
175.661914,1674,22
585.539715,7337,50
2576.374745,17963,59
152.240326,8692,37
936.863544,15986,64
1323.63483,20700,58
11710.794297,45000,81
2927.698574,42000,85
1299.898167,33343,75
1405.295316,27788,75
702.647658,6000,38
995.417515,21089,53
644.093686,14194,53
1756.619145,20000,53
304.480652,9040,45
175.661914,5524,35
1756.619145,10442,53
234.215886,14000,44
1053.971487,24721,57
292.769857,9500,46
819.755601,22800,52
5855.397149,50233,82
644.093686,9530,46
623.828626,16636,49
210.794297,518,20
936.863544,12600,50
1171.07943,17000,62
494.909878,13918,39
1194.501018,20240,69
2342.158859,42650,78
234.215886,5500,35
199.083503,5589,28
1171.07943,15000,51
3513.238289,28931,53
3512.06721,25700,67
93.686354,2800,19
3160.743381,37700,83
644.093686,25978,58
257.637475,2230,27
257.637475,2200,24
316.191446,1695,27
175.661914,512,18
381.15802,18991,59
585.539715,12196,49
5855.397149,44400,83
926.544381,18090,62
3513.238289,49600,85
1053.971487,23700,77
44.501018,657,14
117.096232,2367,23
292.769857,11425,37
702.647658,15616,60
702.647658,18000,53
1815.173116,27959,61
2986.252546,36000,84
1990.835031,36898,76
1145.315682,33925,83
